"filename", "language", "JSON", "PHP", "JavaScript", "HTML", "CSS", "Markdown", "C#", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\markdown-fold.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 2, 9, 50
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\fold\xml-fold.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 0, 0, 3, 14, 185
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\anyword-hint.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 2, 5, 42
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\css-hint.js", "JavaScript", 0, 0, 55, 0, 0, 0, 0, 0, 0, 2, 10, 67
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\html-hint.js", "JavaScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 197, 3, 352
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\javascript-hint.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 0, 0, 12, 14, 163
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\show-hint.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\show-hint.js", "JavaScript", 0, 0, 446, 0, 0, 0, 0, 0, 0, 14, 64, 524
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\sql-hint.js", "JavaScript", 0, 0, 253, 0, 0, 0, 0, 0, 0, 13, 39, 305
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\hint\xml-hint.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 3, 8, 133
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\coffeescript-lint.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 6, 48
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\css-lint.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 4, 6, 41
"c:\Users\Tochi\Documents\webtoolsClone\webtools\codemirror\addon\lint\html-lint.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 4, 6, 60
